token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
62841,AMBER27JAN265200PE,AMBER,27JAN2026,520000.000000,100,OPTSTK,NFO,5.000000
62851,AMBER27JAN266200CE,AMBER,27JAN2026,620000.000000,100,OPTSTK,NFO,5.000000
62869,AMBER27JAN267800CE,AMBER,27JAN2026,780000.000000,100,OPTSTK,NFO,5.000000
63243,AMBUJACEM27JAN26510CE,AMBUJACEM,27JAN2026,51000.000000,1050,OPTSTK,NFO,5.000000
63625,ANGELONE27JAN262900PE,ANGELONE,27JAN2026,290000.000000,250,OPTSTK,NFO,5.000000
63842,APLAPOLLO27JAN261560CE,APLAPOLLO,27JAN2026,156000.000000,350,OPTSTK,NFO,5.000000
63847,APLAPOLLO27JAN261600PE,APLAPOLLO,27JAN2026,160000.000000,350,OPTSTK,NFO,5.000000
63851,APLAPOLLO27JAN261680PE,APLAPOLLO,27JAN2026,168000.000000,350,OPTSTK,NFO,5.000000
64257,APOLLOHOSP27JAN266000PE,APOLLOHOSP,27JAN2026,600000.000000,125,OPTSTK,NFO,5.000000
63859,APLAPOLLO27JAN261840PE,APLAPOLLO,27JAN2026,184000.000000,350,OPTSTK,NFO,5.000000
64289,APOLLOHOSP27JAN266500CE,APOLLOHOSP,27JAN2026,650000.000000,125,OPTSTK,NFO,5.000000
64311,APOLLOHOSP27JAN266500PE,APOLLOHOSP,27JAN2026,650000.000000,125,OPTSTK,NFO,5.000000
64316,APOLLOHOSP27JAN266800CE,APOLLOHOSP,27JAN2026,680000.000000,125,OPTSTK,NFO,5.000000
64321,APOLLOHOSP27JAN267000PE,APOLLOHOSP,27JAN2026,700000.000000,125,OPTSTK,NFO,5.000000
64344,APOLLOHOSP27JAN267600CE,APOLLOHOSP,27JAN2026,760000.000000,125,OPTSTK,NFO,5.000000
64772,ASHOKLEY27JAN26134PE,ASHOKLEY,27JAN2026,13400.000000,5000,OPTSTK,NFO,1.000000
64885,ASHOKLEY27JAN26148PE,ASHOKLEY,27JAN2026,14800.000000,5000,OPTSTK,NFO,1.000000
64888,ASHOKLEY27JAN26152CE,ASHOKLEY,27JAN2026,15200.000000,5000,OPTSTK,NFO,1.000000
64891,ASHOKLEY27JAN26154PE,ASHOKLEY,27JAN2026,15400.000000,5000,OPTSTK,NFO,1.000000
64894,ASHOKLEY27JAN26158CE,ASHOKLEY,27JAN2026,15800.000000,5000,OPTSTK,NFO,1.000000
65002,ASHOKLEY27JAN26166CE,ASHOKLEY,27JAN2026,16600.000000,5000,OPTSTK,NFO,1.000000
65004,ASHOKLEY27JAN26168CE,ASHOKLEY,27JAN2026,16800.000000,5000,OPTSTK,NFO,1.000000
65006,ASHOKLEY27JAN26170CE,ASHOKLEY,27JAN2026,17000.000000,5000,OPTSTK,NFO,1.000000
65007,ASHOKLEY27JAN26170PE,ASHOKLEY,27JAN2026,17000.000000,5000,OPTSTK,NFO,1.000000
